Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
Mica,1,538,675,8986.000000,1,1,1,93.150,74.244,0.000
Mica,1,518,603,8245.000000,1,1,1,83.214,71.484,0.000
Mica,1,529,581,8919.000000,1,1,1,80.178,73.002,0.000
Mica,1,557,591,9647.000000,1,1,1,81.558,76.866,0.000
Mica,1,614,603,9321.000000,1,1,1,83.214,84.732,0.000
Mica,1,624,573,16087.000000,1,1,1,79.074,86.112,0.000
Mica,1,634,564,5816.000000,1,1,1,77.832,87.492,0.000
Mica,1,657,565,8535.000000,1,1,1,77.970,90.666,0.000
Mica,1,648,547,9043.000000,1,1,1,75.486,89.424,0.000
Mica,1,618,539,7661.000000,1,1,1,74.382,85.284,0.000
Mica,1,679,553,10953.000000,1,1,1,76.314,93.702,0.000
Mica,1,720,527,12716.000000,1,1,1,72.726,99.360,0.000
Mica,1,747,553,6275.000000,1,1,1,76.314,103.086,0.000
Mica,1,743,541,6836.000000,1,1,1,74.658,102.534,0.000
Mica,1,679,595,6464.000000,1,1,1,82.110,93.702,0.000
Mica,1,532,530,9264.000000,1,1,1,73.140,73.416,0.000
Mica,1,508,543,9971.000000,1,1,1,74.934,70.104,0.000
Mica,1,485,549,7314.000000,1,1,1,75.762,66.930,0.000
Mica,1,476,603,6729.000000,1,1,1,83.214,65.688,0.000
Mica,1,486,643,7190.000000,1,1,1,88.734,67.068,0.000
Mica,1,486,631,8912.000000,1,1,1,87.078,67.068,0.000
Mica,1,458,641,5991.000000,1,1,1,88.458,63.204,0.000
Mica,1,480,657,8832.000000,1,1,1,90.666,66.240,0.000
Mica,1,470,680,7497.000000,1,1,1,93.840,64.860,0.000
Mica,1,455,697,8962.000000,1,1,1,96.186,62.790,0.000
Mica,1,459,711,9103.000000,1,1,1,98.118,63.342,0.000
Mica,1,424,695,7649.000000,1,1,1,95.910,58.512,0.000
Mica,1,411,675,6613.000000,1,1,1,93.150,56.718,0.000
Mica,1,379,671,8592.000000,1,1,1,92.598,52.302,0.000
